attendance,length_minutes
14754,486
57037,443
34425,434
34637,426
35368,420
21247,414
43709,413
41292,409
22036,399
7236,398
46126,397
43775,395
11668,392
42159,392
28590,387
20338,385
39335,379
14177,377
25984,376
44390,375
21742,374
45825,373
45706,371
44947,370
26576,370
40314,369
18508,369
43412,367
10075,367
37394,367
14219,366
33574,366
39008,361
13355,361
54316,360
36508,357
24684,357
35397,356
43194,355
29762,355
39709,353
32814,352
9670,352
19290,350
33580,349
31878,349
32460,349
32775,348
26266,347
43100,347
30109,346
24224,346
36499,346
28603,345
39470,345
27804,345
34112,344
12608,344
21504,344
44026,343
24716,342
20152,342
46405,341
12069,341
14871,340
16901,340
47887,340
13745,340
9239,339
41531,336
45528,336
24609,335
24169,335
27569,335
37391,334
22806,334
38404,334
26596,333
48262,333
42373,332
37516,332
26891,332
20945,332
10463,331
12294,331
30216,331
17806,331
15605,331
25994,331
22972,330
33899,330
13675,329
40866,329
40851,329
23900,329
44079,328
12714,327
40899,326
41497,326
4735,326
27573,325
34051,325
35274,324
15477,324
45311,323
32744,323
15154,323
30236,323
50865,323
26492,323
30149,322
13879,322
16577,322
28958,322
14188,322
36423,321
22076,321
24695,321
42623,321
37385,321
25170,320
37512,320
23872,320
45494,320
20697,319
3881,319
26914,319
14953,318
29701,318
12612,318
36421,317
37485,317
24029,317
42630,317
45204,317
17599,317
13302,317
23033,316
15590,316
19228,316
23569,316
29600,316
21718,315
28415,315
2457,315
11524,315
31001,314
42517,314
43190,314
24466,314
12408,314
25130,314
13493,314
10501,314
22240,313
22762,313
17265,313
33225,313
35724,313
18568,313
36201,313
27146,313
32629,313
2389,313
14493,312
46179,312
22167,311
11597,311
29192,311
26922,311
49072,311
24053,311
24975,311
41915,310
8943,310
44095,310
34533,309
24453,309
53799,309
23830,309
33258,309
41596,309
12221,309
12564,309
43812,308
24970,308
27822,307
22332,307
28986,307
33368,307
45195,307
20261,307
48766,307
18332,306
20069,306
26276,306
25073,306
52508,306
28336,305
35811,305
10598,305
5214,305
28896,304
23618,304
33880,304
24163,304
42170,304
45264,304
37318,304
40097,304
20691,304
45799,304
17237,304
26526,303
12488,303
36164,303
38951,303
32416,303
35059,303
22737,303
43513,303
15202,302
15716,302
38114,302
29963,302
33835,302
32329,302
35273,302
35077,302
12968,302
28169,302
55351,301
33617,301
9844,301
27417,301
31212,300
20101,300
28600,300
54887,300
41680,300
23707,300
23595,300
37037,300
8612,300
19832,300
7424,299
19122,299
34210,299
11591,299
30459,299
35659,299
36459,299
43373,299
35163,298
24843,298
7772,298
43838,298
24505,298
21354,298
24200,298
14255,298
17951,298
41403,298
23856,298
35371,298
21975,298
36856,298
1831,298
36538,297
25976,297
48559,297
43342,297
15388,297
37857,297
27670,297
29873,297
44621,297
20589,296
32546,296
33559,296
28215,296
44028,295
40243,295
34764,295
15433,295
43658,295
19653,295
44697,294
39257,294
18817,294
8463,294
41233,294
42469,294
52756,294
32213,294
17219,294
29518,294
15686,293
54180,293
6905,293
39222,293
11361,293
42140,293
39483,293
30352,293
40011,293
5869,293
18775,293
40201,293
6941,293
21809,293
26626,293
24992,293
20891,292
23857,292
44931,292
28496,292
17109,292
21727,291
12869,291
19713,291
33902,291
25278,291
37669,291
17519,291
36845,291
16624,290
39190,290
2999,290
37734,290
14426,290
32651,290
16352,290
39206,290
23894,290
19706,290
55695,289
27901,289
46199,289
19885,289
41287,289
35642,289
31984,288
48582,288
33615,288
10160,288
11993,288
30451,288
5500,288
22178,288
4526,288
18978,288
32727,288
15905,288
31776,288
8201,288
19341,288
47720,287
21234,287
19358,287
23900,287
16151,287
20169,287
20210,287
30034,287
18152,287
39551,287
30169,287
25031,287
26020,287
25211,287
43455,287
31990,287
37491,287
12757,287
33352,286
10805,286
36931,286
18401,286
21856,286
18883,286
22595,286
14143,286
2393,286
14085,286
38138,286
15376,286
8810,286
25596,286
25610,286
37589,286
30048,286
43168,285
54183,285
18223,285
54151,285
47785,285
29201,285
26076,285
18784,285
35512,285
30788,285
39152,285
36071,285
7500,285
35498,285
9046,284
42118,284
45713,284
7953,284
31088,284
37529,284
17171,284
6869,284
21964,284
36590,283
19577,283
24415,283
25317,283
15271,283
6472,283
18179,283
12978,283
23512,283
35999,283
31184,283
43215,283
24664,283
12103,283
20673,282
17367,282
30301,282
31624,282
2883,282
14331,282
9459,282
12523,282
14449,282
27343,282
6526,282
15143,282
44140,282
9573,281
46600,281
34168,281
33198,281
9606,281
6273,281
34160,281
26079,281
4500,281
35015,281
14538,280
47775,280
24852,280
9750,280
48404,280
28401,279
23372,279
4836,279
19894,279
10514,279
53354,279
43627,279
34808,279
42635,279
39708,279
28719,279
35537,279
37518,279
30036,279
19170,279
31942,279
18279,279
9075,279
5342,278
26231,278
40055,278
39175,278
27950,278
30377,278
23113,278
8641,278
43036,278
36048,278
53205,278
21563,278
19793,278
2733,278
16623,278
47430,278
15859,278
12239,278
34085,278
24659,278
22971,278
40155,277
54088,277
6884,277
24393,277
37903,277
41780,277
16438,277
21123,277
3514,277
31121,277
45636,277
37223,277
33131,277
9724,277
33492,276
33760,276
10245,276
37158,276
38738,276
39390,276
23242,276
8606,276
19914,276
29513,276
32112,276
54069,276
38606,276
12562,275
19800,275
39402,275
36441,275
40757,275
36052,275
46779,275
33361,275
15532,275
41432,275
5351,275
20098,275
11764,275
18090,275
16796,275
40742,275
31000,275
22493,275
22317,275
41981,275
37829,274
7931,274
43485,274
36608,274
31644,274
25188,274
33749,274
16314,274
38611,274
30753,274
13934,274
25829,274
46676,274
16563,274
30288,274
24737,273
12659,273
30760,273
34389,273
30542,273
7039,273
13419,273
32531,273
40794,273
30070,273
8869,273
40225,273
24974,273
38081,273
12377,273
28488,273
27321,273
29937,272
7839,272
41416,272
22526,272
11935,272
27437,272
9929,272
14148,272
11506,272
16417,272
43845,272
26305,272
39316,272
13731,272
11124,272
35650,272
43268,272
35009,272
40481,272
26383,272
51470,271
37103,271
33543,271
24448,271
52806,271
46369,271
40164,271
10825,271
38650,271
38899,271
21601,271
33789,271
9396,271
14110,271
23430,271
3876,271
8009,271
27631,270
38744,270
35216,270
45350,270
16469,270
3500,270
17842,270
43141,270
26827,270
34060,270
23477,270
16759,270
40992,270
33314,270
28657,270
31755,270
38648,270
5056,269
20209,269
27670,269
22318,269
56658,269
10371,269
34104,269
32587,269
7394,269
40027,269
10586,269
2664,269
41180,269
18232,269
26159,269
12804,269
41461,269
4222,269
9124,269
31109,268
24161,268
30633,268
12482,268
45269,268
41372,268
44840,268
39393,268
37727,268
8900,268
28701,268
41147,268
24351,268
8053,268
7668,268
33329,268
32453,268
39892,268
35271,268
26529,268
5355,268
30311,268
44981,268
44382,268
44193,268
13182,268
11971,268
33178,268
10977,268
23748,268
33502,268
28116,268
43025,267
12985,267
22047,267
20051,267
36784,267
41730,267
35801,267
10393,267
21127,267
2857,267
34498,267
45206,267
36090,267
41007,267
20135,267
21298,267
14983,267
31305,267
12651,266
19054,266
42042,266
17172,266
37719,266
35191,266
19568,266
27905,266
27852,266
44823,266
8959,266
29970,266
41707,266
35377,266
47895,265
45203,265
35077,265
37085,265
35754,265
38516,265
8188,265
29016,265
8882,265
32139,265
21295,265
17378,265
38934,265
37790,265
36310,265
30082,265
10922,265
47828,265
31022,265
38332,265
46727,265
39955,265
53498,265
26527,264
42048,264
22132,264
24470,264
21927,264
19807,264
12833,264
24183,264
27147,264
44163,264
44663,264
31173,264
22596,264
14035,264
35260,264
22335,264
38301,264
30700,264
29481,264
16689,264
41972,264
4601,264
35144,264
54531,264
18219,264
35276,264
48531,263
22012,263
35089,263
39595,263
35759,263
26462,263
35729,263
22120,263
40104,263
36141,263
6070,263
28175,263
41293,263
36069,263
5620,263
24534,263
42869,263
23515,263
48420,263
23262,263
13894,263
31355,263
47303,263
33708,263
33975,263
3921,263
31442,263
27659,263
37993,263
41672,263
27664,263
37837,263
6101,263
44218,262
19376,262
46599,262
25477,262
49307,262
18894,262
2822,262
27680,262
21995,262
19161,262
6834,262
34664,262
15844,262
36112,262
10152,262
31160,262
28926,262
33036,262
22412,262
15009,262
25222,261
38074,261
20786,261
13803,261
10977,261
16044,261
37699,261
37402,261
14550,261
41927,261
27333,261
15957,261
47752,261
22815,261
30312,261
33920,261
12842,261
42418,261
45156,261
34228,261
8018,261
8237,261
29929,261
32088,261
21761,261
26885,261
35043,261
38163,261
41590,260
53184,260
36000,260
55265,260
36539,260
43247,260
40434,260
45123,260
35133,260
41790,260
21169,260
29061,260
24129,260
12562,260
21260,260
32286,260
29097,260
53033,260
8118,260
41545,260
34462,260
53653,260
27774,260
18039,260
33834,260
13614,260
10205,260
17343,260
10761,260
14454,260
3288,260
5921,260
16125,260
13123,260
9735,260
37055,259
19751,259
15836,259
19613,259
10625,259
35095,259
7071,259
22615,259
11010,259
39442,259
28370,259
19651,259
10399,259
20161,259
5693,259
46446,259
31013,259
20239,259
13667,259
34129,259
37344,259
38823,259
30027,259
12402,259
11608,259
41038,259
45757,259
35541,259
41464,259
6321,258
23403,258
34690,258
25576,258
25321,258
14572,258
28179,258
17311,258
8573,258
38567,258
17216,258
24359,258
4326,258
40786,258
40913,258
13500,258
37467,258
21995,258
8660,258
68680,258
37354,258
9071,258
37084,258
36402,258
36567,258
40952,258
36307,258
32951,258
14035,257
21897,257
33147,257
30311,257
22659,257
36155,257
33938,257
41321,257
40256,257
18465,257
13408,257
14163,257
