strikeouts_per_game,season
0.5974,2019
0.5884,2021
0.5833,2020
0.5756,2018
0.5755,2022
0.5669,2017
0.5533,2016
0.5382,2014
0.5309,2015
0.5300,2013
0.5240,2012
0.5018,2011
0.4978,2010
0.4866,2009
0.4730,2001
0.4727,2008
0.4679,1998
0.4671,1968
0.4670,1997
0.4637,1964
0.4633,1967
0.4621,2004
0.4602,1963
0.4593,2002
0.4589,2007
0.4576,1996
0.4566,2006
0.4557,2000
0.4548,1965
0.4536,1999
0.4498,1966
0.4494,2003
0.4485,1994
0.4478,2005
0.4476,1969
0.4459,1995
0.4419,1970
0.4402,1972
0.4380,1987
0.4331,1986
0.4279,1971
0.4218,1962
0.4187,1993
0.4166,1988
0.4160,1888
0.4139,1989
0.4130,1991
0.4114,1961
0.4098,1990
0.4059,1973
0.4034,1992
0.4009,1905
0.3980,1960
0.3966,1959
0.3946,1904
0.3938,1984
0.3934,1985
0.3894,1977
0.3851,1983
0.3838,1958
0.3838,1889
0.3821,1906
0.3807,1974
0.3804,1975
0.3783,1982
0.3777,1957
0.3745,1910
0.3739,1903
0.3726,1891
0.3718,1976
0.3705,1909
0.3649,1956
0.3644,1978
0.3638,1907
0.3633,1979
0.3610,1908
0.3607,1914
0.3586,1980
0.3520,1892
0.3508,1981
0.3498,1952
0.3483,1915
0.3471,1955
0.3437,1916
0.3428,1913
0.3355,1953
0.3352,1954
0.3342,1901
0.3277,1946
0.3257,1878
0.3252,1937
0.3251,1950
0.3237,1880
0.3210,1940
0.3204,1917
0.3180,1879
0.3164,1902
0.3128,1947
0.3121,1951
0.3115,1941
0.3092,1887
0.3086,1943
0.3061,1938
0.3050,1934
0.3033,1949
0.3028,1948
0.3014,1939
0.3013,1942
0.2955,1936
0.2932,1881
0.2920,1935
0.2890,1944
0.2887,1919
0.2863,1945
0.2841,1931
0.2832,1932
0.2820,1930
0.2800,1918
0.2740,1920
0.2695,1933
0.2588,1921
0.2549,1923
0.2547,1922
0.2545,1928
0.2505,1929
0.2466,1900
0.2464,1927
0.2443,1897
0.2443,1898
0.2407,1895
0.2404,1924
0.2399,1926
0.2382,1925
0.2354,1896
0.2279,1893
0.2236,1877
0.2234,1886
0.2231,1890
0.2220,1894
0.2208,1899
0.2095,1882
0.2070,1885
0.2023,1883
0.1839,1911
0.1776,1912
0.1558,1884
0.1254,1876
0.1080,1875
0.0850,1874
0.0802,1872
0.0771,1873
0.0762,1871
