attendance,length_minutes
14754,486
34425,434
34637,426
21247,414
43709,413
41292,409
22036,399
46126,397
43775,395
11668,392
42159,392
28590,387
20338,385
39335,379
25984,376
44390,375
21742,374
45825,373
45706,371
44947,370
18508,369
10075,367
37394,367
43412,367
39008,361
54316,360
24684,357
36508,357
35397,356
43194,355
29762,355
39709,353
32814,352
31878,349
33580,349
32460,349
32775,348
26266,347
43100,347
24224,346
36499,346
30109,346
39470,345
28603,345
27804,345
12608,344
34112,344
21504,344
44026,343
24716,342
20152,342
46405,341
47887,340
9239,339
41531,336
45528,336
27569,335
24169,335
37391,334
38404,334
22806,334
26596,333
48262,333
26891,332
20945,332
42373,332
37516,332
30216,331
15605,331
33899,330
22972,330
23900,329
40851,329
40866,329
13675,329
44079,328
41497,326
40899,326
4735,326
27573,325
34051,325
15477,324
35274,324
30236,323
32744,323
26492,323
50865,323
15154,323
45311,323
14188,322
16577,322
13879,322
30149,322
28958,322
24695,321
37385,321
42623,321
22076,321
36423,321
25170,320
23872,320
45494,320
26914,319
20697,319
29701,318
14953,318
42630,317
24029,317
36421,317
37485,317
13302,317
45204,317
19228,316
23033,316
15590,316
29600,316
23569,316
11524,315
28415,315
21718,315
43190,314
31001,314
25130,314
13493,314
42517,314
10501,314
24466,314
22240,313
35724,313
18568,313
22762,313
33225,313
32629,313
46179,312
14493,312
29192,311
26922,311
24053,311
49072,311
22167,311
24975,311
41915,310
44095,310
8943,310
41596,309
12221,309
12564,309
53799,309
23830,309
33258,309
24453,309
34533,309
43812,308
45195,307
48766,307
27822,307
33368,307
22332,307
20261,307
28986,307
26276,306
25073,306
52508,306
28336,305
35811,305
10598,305
45799,304
17237,304
28896,304
37318,304
45264,304
24163,304
40097,304
42170,304
23618,304
38951,303
32416,303
26526,303
22737,303
36164,303
35059,303
43513,303
33835,302
28169,302
29963,302
15716,302
35077,302
32329,302
35273,302
38114,302
15202,302
12968,302
55351,301
33617,301
27417,301
37037,300
41680,300
19832,300
31212,300
23707,300
28600,300
54887,300
34210,299
19122,299
36459,299
35659,299
30459,299
43838,298
35163,298
41403,298
35371,298
23856,298
21354,298
24200,298
24505,298
36856,298
48559,297
44621,297
25976,297
36538,297
43342,297
37857,297
29873,297
27670,297
32546,296
33559,296
20589,296
43658,295
15433,295
40243,295
44028,295
17219,294
29518,294
44697,294
39257,294
42469,294
41233,294
39483,293
54180,293
5869,293
21809,293
40201,293
30352,293
15686,293
11361,293
18775,293
39222,293
40011,293
42140,293
24992,293
26626,293
28496,292
17109,292
20891,292
44931,292
25278,291
37669,291
33902,291
21727,291
19713,291
17519,291
36845,291
12869,291
37734,290
16624,290
14426,290
39206,290
39190,290
16352,290
19706,290
32651,290
23894,290
41287,289
55695,289
46199,289
35642,289
27901,289
8201,288
31984,288
32727,288
10160,288
30451,288
22178,288
31776,288
15905,288
33615,288
11993,288
48582,288
21234,287
26020,287
31990,287
30169,287
23900,287
12757,287
47720,287
43455,287
20210,287
37491,287
19358,287
20169,287
39551,287
37589,286
38138,286
30048,286
21856,286
25610,286
18883,286
15376,286
33352,286
22595,286
36931,286
14085,286
14143,286
18784,285
54183,285
43168,285
30788,285
47785,285
18223,285
39152,285
54151,285
35512,285
36071,285
29201,285
35498,285
42118,284
37529,284
31088,284
17171,284
45713,284
9046,284
21964,284
24664,283
25317,283
35999,283
36590,283
24415,283
6472,283
31184,283
18179,283
23512,283
43215,283
44140,282
27343,282
12523,282
17367,282
30301,282
14331,282
9459,282
31624,282
34168,281
35015,281
46600,281
34160,281
48404,280
47775,280
39708,279
42635,279
34808,279
43627,279
53354,279
37518,279
23372,279
4836,279
19170,279
28401,279
35537,279
30036,279
19894,279
28719,279
31942,279
16623,278
43036,278
21563,278
12239,278
39175,278
27950,278
24659,278
40055,278
53205,278
26231,278
23113,278
47430,278
22971,278
15859,278
36048,278
34085,278
21123,277
45636,277
16438,277
33131,277
37903,277
31121,277
40155,277
54088,277
41780,277
37223,277
32112,276
23242,276
19914,276
38606,276
33492,276
39390,276
10245,276
38738,276
37158,276
54069,276
29513,276
33760,276
40757,275
41981,275
16796,275
40742,275
36052,275
46779,275
39402,275
22317,275
33361,275
41432,275
31000,275
18090,275
15532,275
